Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,year
0 days 00:21:00.353000,VAN,2,0 days 00:01:40.309000,2.0,1.0,,,0 days 00:00:27.321000,0 days 00:00:38.648000,0 days 00:00:34.340000,0 days 00:19:47.365000,0 days 00:20:26.013000,0 days 00:21:00.353000,309.0,272.0,257.0,300.0,True,HYPERSOFT,1.0,True,McLaren,0 days 00:19:20.044000,2018-09-15 13:04:20.095,1,,False,,False,True,2018
0 days 00:23:27.444000,VAN,2,0 days 00:02:27.091000,3.0,1.0,,,0 days 00:00:36.772000,0 days 00:00:55.553000,0 days 00:00:54.766000,0 days 00:21:37.125000,0 days 00:22:32.678000,0 days 00:23:27.444000,264.0,244.0,256.0,285.0,False,HYPERSOFT,2.0,True,McLaren,0 days 00:21:00.353000,2018-09-15 13:06:00.404,1,,False,,False,True,2018
0 days 00:25:07.845000,VAN,2,0 days 00:01:40.401000,4.0,1.0,,,0 days 00:00:27.305000,0 days 00:00:38.798000,0 days 00:00:34.298000,0 days 00:23:54.749000,0 days 00:24:33.547000,0 days 00:25:07.845000,309.0,273.0,260.0,301.0,False,HYPERSOFT,3.0,True,McLaren,0 days 00:23:27.444000,2018-09-15 13:08:27.495,1,,False,,False,True,2018
0 days 00:33:32.559000,VAN,2,0 days 00:01:39.864000,7.0,2.0,,,0 days 00:00:27.119000,0 days 00:00:38.705000,0 days 00:00:34.040000,0 days 00:32:19.814000,0 days 00:32:58.519000,0 days 00:33:32.559000,310.0,272.0,260.0,301.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:31:52.695000,2018-09-15 13:16:52.746,1,,False,,False,True,2018
0 days 00:21:05.370000,SIR,35,0 days 00:01:42.724000,2.0,1.0,,,0 days 00:00:27.509000,0 days 00:00:40.026000,0 days 00:00:35.189000,0 days 00:19:50.155000,0 days 00:20:30.181000,0 days 00:21:05.370000,318.0,277.0,260.0,305.0,True,HYPERSOFT,1.0,True,Williams,0 days 00:19:22.646000,2018-09-15 13:04:22.697,1,,False,,False,True,2018
0 days 00:25:29.473000,SIR,35,0 days 00:01:41.403000,4.0,1.0,,,0 days 00:00:27.488000,0 days 00:00:39.154000,0 days 00:00:34.761000,0 days 00:24:15.558000,0 days 00:24:54.712000,0 days 00:25:29.473000,315.0,276.0,254.0,307.0,True,HYPERSOFT,3.0,True,Williams,0 days 00:23:48.070000,2018-09-15 13:08:48.121,1,,False,,False,True,2018
0 days 00:34:37.316000,SIR,35,0 days 00:01:41.263000,7.0,2.0,,,0 days 00:00:27.455000,0 days 00:00:39.277000,0 days 00:00:34.531000,0 days 00:33:23.508000,0 days 00:34:02.785000,0 days 00:34:37.316000,316.0,276.0,259.0,306.0,True,HYPERSOFT,2.0,True,Williams,0 days 00:32:56.053000,2018-09-15 13:17:56.104,12,,False,,False,True,2018
0 days 00:21:47.636000,STR,18,0 days 00:01:41.334000,2.0,1.0,,,0 days 00:00:27.364000,0 days 00:00:39.026000,0 days 00:00:34.944000,0 days 00:20:33.666000,0 days 00:21:12.692000,0 days 00:21:47.636000,309.0,273.0,257.0,305.0,True,HYPERSOFT,2.0,True,Williams,0 days 00:20:06.302000,2018-09-15 13:05:06.353,1,,False,,False,True,2018
0 days 00:23:58.552000,STR,18,0 days 00:02:10.916000,3.0,1.0,,,0 days 00:00:33.812000,0 days 00:00:46.916000,0 days 00:00:50.188000,0 days 00:22:21.448000,0 days 00:23:08.364000,0 days 00:23:58.552000,267.0,249.0,259.0,260.0,False,HYPERSOFT,3.0,True,Williams,0 days 00:21:47.636000,2018-09-15 13:06:47.687,1,,False,,False,True,2018
0 days 00:21:05.953000,LEC,16,0 days 00:01:38.014000,2.0,1.0,,,0 days 00:00:26.697000,0 days 00:00:37.825000,0 days 00:00:33.492000,0 days 00:19:54.636000,0 days 00:20:32.461000,0 days 00:21:05.953000,317.0,287.0,263.0,306.0,True,SOFT,2.0,True,Ferrari,0 days 00:19:27.939000,2019-09-21 13:04:29.043,1,,False,,False,True,2019
